Feature
1,ENSG00000214546
2,ENSG00000264964
3,ENSG00000287119
4,ENSG00000287470
5,ENSG00000188467
6,ENSG00000287484
7,ENSG00000224626
8,ENSG00000113520
9,ENSG00000226770
10,ENSG00000229848
11,ENSG00000259921
12,ENSG00000180745
13,ENSG00000159398
14,ENSG00000177369
15,ENSG00000269524
16,ENSG00000255599
17,ENSG00000161133
18,ENSG00000286781
19,ENSG00000222042
20,ENSG00000167046
21,ENSG00000226334
22,ENSG00000254968
23,ENSG00000226519
24,ENSG00000188056
25,ENSG00000284652
26,ENSG00000185304
27,ENSG00000274723
28,ENSG00000177300
29,ENSG00000254295
30,ENSG00000286996
31,ENSG00000272236
32,ENSG00000273104
33,ENSG00000269815
34,ENSG00000145920
35,ENSG00000274367
36,ENSG00000254459
37,ENSG00000233776
38,ENSG00000223812
39,ENSG00000280927
40,ENSG00000287301
41,ENSG00000270882
42,ENSG00000226312
43,ENSG00000225527
44,ENSG00000260107
45,ENSG00000232311
46,ENSG00000254258
47,ENSG00000259823
48,ENSG00000241180
49,ENSG00000256812
50,ENSG00000235659
51,ENSG00000175203
52,ENSG00000238221
53,ENSG00000235597
54,ENSG00000106245
55,ENSG00000270127
56,ENSG00000130023
57,ENSG00000248399
58,ENSG00000250379
59,ENSG00000248771
60,ENSG00000031003
61,ENSG00000262768
62,ENSG00000240230
63,ENSG00000141858
64,ENSG00000277619
65,ENSG00000285747
66,ENSG00000275417
67,ENSG00000088812
68,ENSG00000182810
69,ENSG00000183255
70,ENSG00000227045
71,ENSG00000114125
72,ENSG00000131381
73,ENSG00000286549
74,ENSG00000141449
75,ENSG00000174109
76,ENSG00000002746
77,ENSG00000143498
78,ENSG00000075914
79,ENSG00000184402
80,ENSG00000138794
81,ENSG00000176396
82,ENSG00000287402
83,ENSG00000169067
84,ENSG00000125445
85,ENSG00000176774
86,ENSG00000227170
87,ENSG00000251194
88,ENSG00000165591
89,ENSG00000211670
90,ENSG00000255837
91,ENSG00000237457
92,ENSG00000272320
93,ENSG00000157093
94,ENSG00000280071
95,ENSG00000270071
96,ENSG00000146676
97,ENSG00000168291
98,ENSG00000115364
99,ENSG00000103174
100,ENSG00000157426
101,ENSG00000215126
102,ENSG00000182518
103,ENSG00000170584
104,ENSG00000163354
105,ENSG00000100314
106,ENSG00000256542
107,ENSG00000092841
108,ENSG00000275835
109,ENSG00000108298
110,ENSG00000228275
111,ENSG00000182566
112,ENSG00000150991
113,ENSG00000063854
